Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54639,"$3,935",70661,9898,RT-P2-COB-BR,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,SANTA FE,,,,1087,Flujo,Ciudad de México,RENTA,
CHAYANNE,OCESA,INTERCAMBIO,54536,$0,70689,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #4,CHAYANNE BAILEMOS OTRA VEZ,,,,1087,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1088,Contraflujo,Ciudad de México,RENTA,
Shakira,OCESA,INTERCAMBIO,54520,$0,70673,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #4,SHAKIRA,,,,1092,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54526,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,TASTER´S CHOICE,,,,1092,Contraflujo,Ciudad de México,RENTA,
TENA,TENA,RENTA,1324,"$4,200",1278,11431,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,TENA PAQUETE,,,,1093,Flujo,Ciudad de México,RENTA,
AFORE XXI,CARRERA KARDIAS,RENTA,54638,"$3,105",#N/A,#N/A,#N/A,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,AFORE XXI,,,,1093,Contraflujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,1094,Contraflujo,Ciudad de México,RENTA,
EL REY LEÓN,OCESA,INTERCAMBIO,54519,$0,70671,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #4,Ven a sentir el amor,,,,1095,Flujo,Ciudad de México,RENTA,
SABA,SABA,RENTA,1326,"$4,200",1300,11432,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SABA INVISIBLE,,,,1095,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1339,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1098,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1098,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1099,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1099,Contraflujo,Ciudad de México,RENTA,
